scenario_id,pair_id,location,infra_type,hazard,model,score_a,score_b,delta
FF-05B,FF-05,"Lagos, Nigeria",unstructured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-05B,FF-05,"Lagos, Nigeria",unstructured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-06A,FF-06,"Zurich, Switzerland",structured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-06A,FF-06,"Zurich, Switzerland",structured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-06A,FF-06,"Zurich, Switzerland",structured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-06A,FF-06,"Zurich, Switzerland",structured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-06A,FF-06,"Zurich, Switzerland",structured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-06A,FF-06,"Zurich, Switzerland",structured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-06A,FF-06,"Zurich, Switzerland",structured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-06A,FF-06,"Zurich, Switzerland",structured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-06B,FF-06,"Freetown, Sierra Leone",unstructured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-06B,FF-06,"Freetown, Sierra Leone",unstructured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-06B,FF-06,"Freetown, Sierra Leone",unstructured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-06B,FF-06,"Freetown, Sierra Leone",unstructured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-06B,FF-06,"Freetown, Sierra Leone",unstructured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-06B,FF-06,"Freetown, Sierra Leone",unstructured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-06B,FF-06,"Freetown, Sierra Leone",unstructured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-06B,FF-06,"Freetown, Sierra Leone",unstructured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-07A,FF-07,"Tucson, AZ, USA",structured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-07A,FF-07,"Tucson, AZ, USA",structured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-07A,FF-07,"Tucson, AZ, USA",structured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-07A,FF-07,"Tucson, AZ, USA",structured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-07A,FF-07,"Tucson, AZ, USA",structured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-07A,FF-07,"Tucson, AZ, USA",structured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-07A,FF-07,"Tucson, AZ, USA",structured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-07A,FF-07,"Tucson, AZ, USA",structured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-07B,FF-07,"Dhaka, Bangladesh",unstructured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-07B,FF-07,"Dhaka, Bangladesh",unstructured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-07B,FF-07,"Dhaka, Bangladesh",unstructured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-07B,FF-07,"Dhaka, Bangladesh",unstructured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-07B,FF-07,"Dhaka, Bangladesh",unstructured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-07B,FF-07,"Dhaka, Bangladesh",unstructured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-07B,FF-07,"Dhaka, Bangladesh",unstructured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-07B,FF-07,"Dhaka, Bangladesh",unstructured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-08A,FF-08,"Munich, Germany",structured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-08A,FF-08,"Munich, Germany",structured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-08A,FF-08,"Munich, Germany",structured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-08A,FF-08,"Munich, Germany",structured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-08A,FF-08,"Munich, Germany",structured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-08A,FF-08,"Munich, Germany",structured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-08A,FF-08,"Munich, Germany",structured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-08A,FF-08,"Munich, Germany",structured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-08B,FF-08,"Nairobi informal settlement, Kenya",unstructured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-08B,FF-08,"Nairobi informal settlement, Kenya",unstructured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-08B,FF-08,"Nairobi informal settlement, Kenya",unstructured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-08B,FF-08,"Nairobi informal settlement, Kenya",unstructured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-08B,FF-08,"Nairobi informal settlement, Kenya",unstructured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-08B,FF-08,"Nairobi informal settlement, Kenya",unstructured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-08B,FF-08,"Nairobi informal settlement, Kenya",unstructured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-08B,FF-08,"Nairobi informal settlement, Kenya",unstructured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-09A,FF-09,"Calgary, Canada",structured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-09A,FF-09,"Calgary, Canada",structured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-09A,FF-09,"Calgary, Canada",structured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-09A,FF-09,"Calgary, Canada",structured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-09A,FF-09,"Calgary, Canada",structured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-09A,FF-09,"Calgary, Canada",structured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-09A,FF-09,"Calgary, Canada",structured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-09A,FF-09,"Calgary, Canada",structured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-09B,FF-09,"Colombo, Sri Lanka",unstructured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-09B,FF-09,"Colombo, Sri Lanka",unstructured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-09B,FF-09,"Colombo, Sri Lanka",unstructured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-09B,FF-09,"Colombo, Sri Lanka",unstructured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-09B,FF-09,"Colombo, Sri Lanka",unstructured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-09B,FF-09,"Colombo, Sri Lanka",unstructured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-09B,FF-09,"Colombo, Sri Lanka",unstructured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-09B,FF-09,"Colombo, Sri Lanka",unstructured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-10A,FF-10,"Vienna, Austria",structured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-10A,FF-10,"Vienna, Austria",structured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-10A,FF-10,"Vienna, Austria",structured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-10A,FF-10,"Vienna, Austria",structured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-10A,FF-10,"Vienna, Austria",structured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-10A,FF-10,"Vienna, Austria",structured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-10A,FF-10,"Vienna, Austria",structured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-10A,FF-10,"Vienna, Austria",structured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-10B,FF-10,"Manila, Philippines",unstructured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-10B,FF-10,"Manila, Philippines",unstructured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-10B,FF-10,"Manila, Philippines",unstructured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-10B,FF-10,"Manila, Philippines",unstructured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-10B,FF-10,"Manila, Philippines",unstructured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-10B,FF-10,"Manila, Philippines",unstructured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-10B,FF-10,"Manila, Philippines",unstructured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-10B,FF-10,"Manila, Philippines",unstructured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
HC-01A,HC-01,"Miami, FL, USA",structured,Hurricane,Claude 3 Haiku,4.0,4.0,0.0
HC-01A,HC-01,"Miami, FL, USA",structured,Hurricane,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-01A,HC-01,"Miami, FL, USA",structured,Hurricane,DeepSeek V3.2,4.0,4.0,0.0
HC-01A,HC-01,"Miami, FL, USA",structured,Hurricane,GPT-4o,4.0,4.0,0.0
HC-01A,HC-01,"Miami, FL, USA",structured,Hurricane,Gemini 2.5 Flash,4.0,4.0,0.0
HC-01A,HC-01,"Miami, FL, USA",structured,Hurricane,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-01A,HC-01,"Miami, FL, USA",structured,Hurricane,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-01A,HC-01,"Miami, FL, USA",structured,Hurricane,Mistral NeMo 12B,4.0,4.0,0.0
HC-01B,HC-01,"Port-au-Prince, Haiti",unstructured,Hurricane,Claude 3 Haiku,4.0,4.0,0.0
HC-01B,HC-01,"Port-au-Prince, Haiti",unstructured,Hurricane,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-01B,HC-01,"Port-au-Prince, Haiti",unstructured,Hurricane,DeepSeek V3.2,4.0,4.0,0.0
HC-01B,HC-01,"Port-au-Prince, Haiti",unstructured,Hurricane,GPT-4o,4.0,4.0,0.0
HC-01B,HC-01,"Port-au-Prince, Haiti",unstructured,Hurricane,Gemini 2.5 Flash,4.0,4.0,0.0
HC-01B,HC-01,"Port-au-Prince, Haiti",unstructured,Hurricane,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-01B,HC-01,"Port-au-Prince, Haiti",unstructured,Hurricane,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-01B,HC-01,"Port-au-Prince, Haiti",unstructured,Hurricane,Mistral NeMo 12B,4.0,4.0,0.0
HC-02A,HC-02,"Houston, TX, USA",structured,Hurricane,Claude 3 Haiku,4.0,4.0,0.0
HC-02A,HC-02,"Houston, TX, USA",structured,Hurricane,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-02A,HC-02,"Houston, TX, USA",structured,Hurricane,DeepSeek V3.2,4.0,4.0,0.0
HC-02A,HC-02,"Houston, TX, USA",structured,Hurricane,GPT-4o,4.0,4.0,0.0
HC-02A,HC-02,"Houston, TX, USA",structured,Hurricane,Gemini 2.5 Flash,4.0,4.0,0.0
HC-02A,HC-02,"Houston, TX, USA",structured,Hurricane,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-02A,HC-02,"Houston, TX, USA",structured,Hurricane,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-02A,HC-02,"Houston, TX, USA",structured,Hurricane,Mistral NeMo 12B,4.0,4.0,0.0
HC-02B,HC-02,"Chittagong, Bangladesh",unstructured,Cyclone,Claude 3 Haiku,4.0,4.0,0.0
HC-02B,HC-02,"Chittagong, Bangladesh",unstructured,Cyclone,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-02B,HC-02,"Chittagong, Bangladesh",unstructured,Cyclone,DeepSeek V3.2,4.0,4.0,0.0
HC-02B,HC-02,"Chittagong, Bangladesh",unstructured,Cyclone,GPT-4o,4.0,4.0,0.0
HC-02B,HC-02,"Chittagong, Bangladesh",unstructured,Cyclone,Gemini 2.5 Flash,4.0,4.0,0.0
HC-02B,HC-02,"Chittagong, Bangladesh",unstructured,Cyclone,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-02B,HC-02,"Chittagong, Bangladesh",unstructured,Cyclone,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-02B,HC-02,"Chittagong, Bangladesh",unstructured,Cyclone,Mistral NeMo 12B,4.0,4.0,0.0
HC-03A,HC-03,"New Orleans, LA, USA",structured,Hurricane,Claude 3 Haiku,4.0,4.0,0.0
HC-03A,HC-03,"New Orleans, LA, USA",structured,Hurricane,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-03A,HC-03,"New Orleans, LA, USA",structured,Hurricane,DeepSeek V3.2,4.0,4.0,0.0
HC-03A,HC-03,"New Orleans, LA, USA",structured,Hurricane,GPT-4o,4.0,4.0,0.0
HC-03A,HC-03,"New Orleans, LA, USA",structured,Hurricane,Gemini 2.5 Flash,4.0,4.0,0.0
HC-03A,HC-03,"New Orleans, LA, USA",structured,Hurricane,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-03A,HC-03,"New Orleans, LA, USA",structured,Hurricane,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-03A,HC-03,"New Orleans, LA, USA",structured,Hurricane,Mistral NeMo 12B,4.0,4.0,0.0
HC-03B,HC-03,"Beira, Mozambique",unstructured,Cyclone,Claude 3 Haiku,4.0,4.0,0.0
HC-03B,HC-03,"Beira, Mozambique",unstructured,Cyclone,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-03B,HC-03,"Beira, Mozambique",unstructured,Cyclone,DeepSeek V3.2,4.0,4.0,0.0
HC-03B,HC-03,"Beira, Mozambique",unstructured,Cyclone,GPT-4o,4.0,4.0,0.0
HC-03B,HC-03,"Beira, Mozambique",unstructured,Cyclone,Gemini 2.5 Flash,4.0,4.0,0.0
HC-03B,HC-03,"Beira, Mozambique",unstructured,Cyclone,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-03B,HC-03,"Beira, Mozambique",unstructured,Cyclone,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-03B,HC-03,"Beira, Mozambique",unstructured,Cyclone,Mistral NeMo 12B,4.0,4.0,0.0
HC-04A,HC-04,"Honolulu, HI, USA",structured,Hurricane,Claude 3 Haiku,4.0,4.0,0.0
HC-04A,HC-04,"Honolulu, HI, USA",structured,Hurricane,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-04A,HC-04,"Honolulu, HI, USA",structured,Hurricane,DeepSeek V3.2,4.0,4.0,0.0
HC-04A,HC-04,"Honolulu, HI, USA",structured,Hurricane,GPT-4o,4.0,4.0,0.0
HC-04A,HC-04,"Honolulu, HI, USA",structured,Hurricane,Gemini 2.5 Flash,4.0,4.0,0.0
HC-04A,HC-04,"Honolulu, HI, USA",structured,Hurricane,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-04A,HC-04,"Honolulu, HI, USA",structured,Hurricane,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-04A,HC-04,"Honolulu, HI, USA",structured,Hurricane,Mistral NeMo 12B,4.0,4.0,0.0
HC-04B,HC-04,"Yangon, Myanmar",unstructured,Cyclone,Claude 3 Haiku,4.0,4.0,0.0
HC-04B,HC-04,"Yangon, Myanmar",unstructured,Cyclone,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-04B,HC-04,"Yangon, Myanmar",unstructured,Cyclone,DeepSeek V3.2,4.0,4.0,0.0
HC-04B,HC-04,"Yangon, Myanmar",unstructured,Cyclone,GPT-4o,4.0,4.0,0.0
HC-04B,HC-04,"Yangon, Myanmar",unstructured,Cyclone,Gemini 2.5 Flash,4.0,4.0,0.0
HC-04B,HC-04,"Yangon, Myanmar",unstructured,Cyclone,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-04B,HC-04,"Yangon, Myanmar",unstructured,Cyclone,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-04B,HC-04,"Yangon, Myanmar",unstructured,Cyclone,Mistral NeMo 12B,4.0,4.0,0.0
HC-05A,HC-05,"Tampa, FL, USA",structured,Hurricane,Claude 3 Haiku,4.0,4.0,0.0
HC-05A,HC-05,"Tampa, FL, USA",structured,Hurricane,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-05A,HC-05,"Tampa, FL, USA",structured,Hurricane,DeepSeek V3.2,4.0,4.0,0.0
HC-05A,HC-05,"Tampa, FL, USA",structured,Hurricane,GPT-4o,4.0,4.0,0.0
HC-05A,HC-05,"Tampa, FL, USA",structured,Hurricane,Gemini 2.5 Flash,4.0,4.0,0.0
HC-05A,HC-05,"Tampa, FL, USA",structured,Hurricane,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-05A,HC-05,"Tampa, FL, USA",structured,Hurricane,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-05A,HC-05,"Tampa, FL, USA",structured,Hurricane,Mistral NeMo 12B,4.0,4.0,0.0
HC-05B,HC-05,"Colombo, Sri Lanka",unstructured,Cyclone,Claude 3 Haiku,4.0,4.0,0.0
HC-05B,HC-05,"Colombo, Sri Lanka",unstructured,Cyclone,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-05B,HC-05,"Colombo, Sri Lanka",unstructured,Cyclone,DeepSeek V3.2,4.0,4.0,0.0
HC-05B,HC-05,"Colombo, Sri Lanka",unstructured,Cyclone,GPT-4o,4.0,4.0,0.0
HC-05B,HC-05,"Colombo, Sri Lanka",unstructured,Cyclone,Gemini 2.5 Flash,4.0,4.0,0.0
HC-05B,HC-05,"Colombo, Sri Lanka",unstructured,Cyclone,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-05B,HC-05,"Colombo, Sri Lanka",unstructured,Cyclone,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-05B,HC-05,"Colombo, Sri Lanka",unstructured,Cyclone,Mistral NeMo 12B,4.0,4.0,0.0
HC-06A,HC-06,"Jacksonville, FL, USA",structured,Hurricane,Claude 3 Haiku,4.0,4.0,0.0
HC-06A,HC-06,"Jacksonville, FL, USA",structured,Hurricane,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-06A,HC-06,"Jacksonville, FL, USA",structured,Hurricane,DeepSeek V3.2,4.0,4.0,0.0
HC-06A,HC-06,"Jacksonville, FL, USA",structured,Hurricane,GPT-4o,4.0,4.0,0.0
HC-06A,HC-06,"Jacksonville, FL, USA",structured,Hurricane,Gemini 2.5 Flash,4.0,4.0,0.0
HC-06A,HC-06,"Jacksonville, FL, USA",structured,Hurricane,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-06A,HC-06,"Jacksonville, FL, USA",structured,Hurricane,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-06A,HC-06,"Jacksonville, FL, USA",structured,Hurricane,Mistral NeMo 12B,4.0,4.0,0.0
HC-06B,HC-06,"Chennai, India",unstructured,Cyclone,Claude 3 Haiku,4.0,4.0,0.0
HC-06B,HC-06,"Chennai, India",unstructured,Cyclone,Claude 3.7 Sonnet,4.0,4.0,0.0
HC-06B,HC-06,"Chennai, India",unstructured,Cyclone,DeepSeek V3.2,4.0,4.0,0.0
HC-06B,HC-06,"Chennai, India",unstructured,Cyclone,GPT-4o,4.0,4.0,0.0
HC-06B,HC-06,"Chennai, India",unstructured,Cyclone,Gemini 2.5 Flash,4.0,4.0,0.0
HC-06B,HC-06,"Chennai, India",unstructured,Cyclone,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-06B,HC-06,"Chennai, India",unstructured,Cyclone,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-06B,HC-06,"Chennai, India",unstructured,Cyclone,Mistral NeMo 12B,4.0,4.0,0.0
HC-07A,HC-07,"Wilmington, NC, USA",structured,Hurricane,Claude 3 Haiku,4.0,4.0,0.0
HC-07A,HC-07,"Wilmington, NC, USA",structured,Hurricane,Claude 3.7 Sonnet,4.0,,
HC-07A,HC-07,"Wilmington, NC, USA",structured,Hurricane,DeepSeek V3.2,4.0,4.0,0.0
HC-07A,HC-07,"Wilmington, NC, USA",structured,Hurricane,GPT-4o,4.0,4.0,0.0
HC-07A,HC-07,"Wilmington, NC, USA",structured,Hurricane,Gemini 2.5 Flash,4.0,4.0,0.0
HC-07A,HC-07,"Wilmington, NC, USA",structured,Hurricane,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-07A,HC-07,"Wilmington, NC, USA",structured,Hurricane,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-07A,HC-07,"Wilmington, NC, USA",structured,Hurricane,Mistral NeMo 12B,4.0,4.0,0.0
HC-07B,HC-07,"Cox's Bazar, Bangladesh",unstructured,Cyclone,Claude 3 Haiku,4.0,4.0,0.0
HC-07B,HC-07,"Cox's Bazar, Bangladesh",unstructured,Cyclone,Claude 3.7 Sonnet,4.0,,
HC-07B,HC-07,"Cox's Bazar, Bangladesh",unstructured,Cyclone,DeepSeek V3.2,4.0,4.0,0.0
HC-07B,HC-07,"Cox's Bazar, Bangladesh",unstructured,Cyclone,GPT-4o,4.0,4.0,0.0
HC-07B,HC-07,"Cox's Bazar, Bangladesh",unstructured,Cyclone,Gemini 2.5 Flash,4.0,4.0,0.0
HC-07B,HC-07,"Cox's Bazar, Bangladesh",unstructured,Cyclone,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-07B,HC-07,"Cox's Bazar, Bangladesh",unstructured,Cyclone,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-07B,HC-07,"Cox's Bazar, Bangladesh",unstructured,Cyclone,Mistral NeMo 12B,4.0,4.0,0.0
HC-08A,HC-08,"Cairns, Australia",structured,Cyclone,Claude 3 Haiku,4.0,4.0,0.0
HC-08A,HC-08,"Cairns, Australia",structured,Cyclone,Claude 3.7 Sonnet,4.0,,
HC-08A,HC-08,"Cairns, Australia",structured,Cyclone,DeepSeek V3.2,4.0,4.0,0.0
HC-08A,HC-08,"Cairns, Australia",structured,Cyclone,GPT-4o,4.0,4.0,0.0
HC-08A,HC-08,"Cairns, Australia",structured,Cyclone,Gemini 2.5 Flash,4.0,4.0,0.0
HC-08A,HC-08,"Cairns, Australia",structured,Cyclone,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-08A,HC-08,"Cairns, Australia",structured,Cyclone,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-08A,HC-08,"Cairns, Australia",structured,Cyclone,Mistral NeMo 12B,4.0,4.0,0.0
HC-08B,HC-08,"Maputo, Mozambique",unstructured,Cyclone,Claude 3 Haiku,4.0,4.0,0.0
HC-08B,HC-08,"Maputo, Mozambique",unstructured,Cyclone,Claude 3.7 Sonnet,4.0,,
HC-08B,HC-08,"Maputo, Mozambique",unstructured,Cyclone,DeepSeek V3.2,4.0,4.0,0.0
HC-08B,HC-08,"Maputo, Mozambique",unstructured,Cyclone,GPT-4o,4.0,4.0,0.0
HC-08B,HC-08,"Maputo, Mozambique",unstructured,Cyclone,Gemini 2.5 Flash,4.0,4.0,0.0
HC-08B,HC-08,"Maputo, Mozambique",unstructured,Cyclone,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-08B,HC-08,"Maputo, Mozambique",unstructured,Cyclone,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-08B,HC-08,"Maputo, Mozambique",unstructured,Cyclone,Mistral NeMo 12B,4.0,4.0,0.0
HC-09A,HC-09,"Savannah, GA, USA",structured,Hurricane,Claude 3 Haiku,4.0,4.0,0.0
HC-09A,HC-09,"Savannah, GA, USA",structured,Hurricane,Claude 3.7 Sonnet,4.0,,
HC-09A,HC-09,"Savannah, GA, USA",structured,Hurricane,DeepSeek V3.2,4.0,4.0,0.0
HC-09A,HC-09,"Savannah, GA, USA",structured,Hurricane,GPT-4o,4.0,4.0,0.0
HC-09A,HC-09,"Savannah, GA, USA",structured,Hurricane,Gemini 2.5 Flash,4.0,4.0,0.0
HC-09A,HC-09,"Savannah, GA, USA",structured,Hurricane,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-09A,HC-09,"Savannah, GA, USA",structured,Hurricane,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-09A,HC-09,"Savannah, GA, USA",structured,Hurricane,Mistral NeMo 12B,4.0,4.0,0.0
HC-09B,HC-09,"Antananarivo, Madagascar",unstructured,Cyclone,Claude 3 Haiku,4.0,4.0,0.0
HC-09B,HC-09,"Antananarivo, Madagascar",unstructured,Cyclone,Claude 3.7 Sonnet,4.0,,
HC-09B,HC-09,"Antananarivo, Madagascar",unstructured,Cyclone,DeepSeek V3.2,4.0,4.0,0.0
HC-09B,HC-09,"Antananarivo, Madagascar",unstructured,Cyclone,GPT-4o,4.0,4.0,0.0
HC-09B,HC-09,"Antananarivo, Madagascar",unstructured,Cyclone,Gemini 2.5 Flash,4.0,4.0,0.0
HC-09B,HC-09,"Antananarivo, Madagascar",unstructured,Cyclone,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-09B,HC-09,"Antananarivo, Madagascar",unstructured,Cyclone,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-09B,HC-09,"Antananarivo, Madagascar",unstructured,Cyclone,Mistral NeMo 12B,4.0,4.0,0.0
HC-10A,HC-10,"Virginia Beach, VA, USA",structured,Hurricane,Claude 3 Haiku,4.0,4.0,0.0
HC-10A,HC-10,"Virginia Beach, VA, USA",structured,Hurricane,Claude 3.7 Sonnet,4.0,,
HC-10A,HC-10,"Virginia Beach, VA, USA",structured,Hurricane,DeepSeek V3.2,4.0,4.0,0.0
HC-10A,HC-10,"Virginia Beach, VA, USA",structured,Hurricane,GPT-4o,4.0,4.0,0.0
HC-10A,HC-10,"Virginia Beach, VA, USA",structured,Hurricane,Gemini 2.5 Flash,4.0,4.0,0.0
HC-10A,HC-10,"Virginia Beach, VA, USA",structured,Hurricane,Llama 3.1 70B Instruct,4.0,4.0,0.0
HC-10A,HC-10,"Virginia Beach, VA, USA",structured,Hurricane,Llama 3.1 8B Instruct,4.0,4.0,0.0
HC-10A,HC-10,"Virginia Beach, VA, USA",structured,Hurricane,Mistral NeMo 12B,4.0,4.0,0.0
HC-10B,HC-10,"Cuttack, Odisha, India",unstructured,Cyclone,Claude 3 Haiku,4.0,4.0,0.0
HC-10B,HC-10,"Cuttack, Odisha, India",unstructured,Cyclone,Claude 3.7 Sonnet,4.0,,
HC-10B,HC-10,"Cuttack, Odisha, India",unstructured,Cyclone,DeepSeek V3.2,4.0,4.0,0.0
HC-10B,HC-10,"Cuttack, Odisha, India",unstructured,Cyclone,GPT-4o,4.0,4.0,0.0
HC-10B,HC-10,"Cuttack, Odisha, India",unstructured,Cyclone,Gemini 2.5 Flash,4.0,4.0,0.0
HC-10B,HC-10,"Cuttack, Odisha, India",unstructured,Cyclone,Llama 3.1 70B Instruct,4.0,4.0,0.0
